start	stop	strand
4	1398	+
1641	2756	+
2623	3834	+
3827	4264	+
4391	6832	+
7014	7181	+
7317	8261	+
10397	12379	+
12546	13778	+
13969	15783	+
15746	18319	+
18407	19354	+
19371	22052	+
22052	24175	+
25113	25379	+
25334	27502	+
27563	28894	+
29074	29784	+
29863	32934	-
32963	33985	-
34211	35434	+
35448	36809	+
36917	38194	+
38313	39947	+
40011	40289	+
40286	41086	-
41083	41694	-
41795	42745	-
42943	43659	+
43659	44459	+
44568	45563	-
45660	46712	-
46761	46919	+
47597	49390	+
49511	50443	+
50424	52556	+
52596	54488	+
54544	55443	-
55805	56506	-
56524	57045	-
57051	57482	-
58228	58533	-
58826	59434	-
59585	60640	+
60610	61656	+
61745	62800	-
62971	63930	+
64137	64373	+
64370	66151	+
66163	67572	+
67647	68963	-
68947	69174	-
69180	69650	-
69756	70055	-
70172	70702	-
70711	70992	-
71134	71709	+
71783	72310	+
72355	72669	+
74019	75041	+
75097	75627	-
75477	75863	-
75914	78550	-
78754	79026	+
79096	80637	-
80942	82351	+
82470	83360	+
83400	84230	+
84263	85879	+
85884	87122	+
87050	89272	+
89269	89736	+
89743	90591	+
92139	92441	-
93188	94369	+
94449	94682	-
94796	95242	-
95323	96267	+
96270	96809	-
96793	97407	-
97437	98672	-
98755	99819	-
100001	101563	+
101634	102122	+
102106	102753	+
102891	103901	+
103901	105847	+
105921	106283	-
106453	106671	+
106724	107380	-
107384	108139	-
108334	108936	+
108929	109723	+
109761	111734	-
111799	113622	+
113869	115650	+
115817	118810	+
118842	120374	-
120355	121932	-
122286	123671	-
123773	124651	-
125192	126925	+
126985	128412	+
128409	129761	-
129903	130889	+
130894	131889	+
131914	132723	-
132874	134880	+
134912	136708	-
136788	138053	-
138151	138810	-
138810	139619	-
139749	140816	+
141036	142892	-
142998	145568	+
145582	146688	+
146765	147559	+
147623	148294	-
148348	148998	-
148821	149144	-
149381	149815	+
149809	150477	+
150686	151033	+
151018	151494	+
151823	152242	-
152314	154110	-
154350	155582	-
155579	156709	-
156752	157603	-
157943	159430	+
159684	160421	-
160429	161121	-
161161	162888	-
163060	163593	+
163544	164206	-
164199	165980	-
165938	166945	-
167055	169025	+
170430	172289	-
172286	172864	-
172858	173451	-
173444	173911	-
173895	174914	-
174901	176445	-
176521	177012	-
177237	178274	+
178280	179395	+
179436	179840	-
179837	180739	-
180736	181422	-
181426	182454	-
182570	184423	-
184535	185587	-
185763	186689	+
186837	187637	+
187609	188505	+
188509	189612	+
189622	190083	+
190163	190918	+
191237	192046	+
192146	192574	+
192564	193967	-
193936	195456	-
196613	196762	-
196856	197782	-
197782	199665	-
199607	199765	-
199758	200201	+
200041	200820	+
200823	201668	-
201673	202137	-
202225	202932	+
202987	204168	+
204232	205719	+
205791	206099	+
206146	206772	+
206786	207436	+
207423	207707	+
207763	208584	+
208594	208881	+
208890	209264	+
209248	209991	+
209995	210414	+
210429	210647	+
210662	210916	+
210929	211297	+
211309	211620	+
211617	212174	+
212186	212371	+
212387	212785	+
212795	213334	+
213343	213705	+
213714	214232	+
214235	214420	+
214420	214881	+
214889	216208	+
216376	216741	+
216759	217139	+
217154	218209	+
218199	218693	+
218717	218914	+
219120	219782	+
219898	221805	+
221926	223176	+
223353	224822	+
224826	226973	+
227002	227328	+
227315	228112	+
228122	228568	+
228837	230144	+
230331	231071	+
236224	236910	-
236963	237730	-
237797	238612	-
238556	239389	+
239394	241367	+
241468	242118	+
242365	242910	+
243146	243316	+
243466	243645	+
243655	244212	+
244319	244759	+
244756	245436	+
245438	245980	+
246089	246478	+
246741	250277	+
250290	254540	+
254643	255017	+
255039	255509	+
255533	258988	+
259134	260927	+
260978	262051	+
262600	263652	+
263703	263930	+
263765	264052	+
264084	264401	+
264391	266031	+
266022	266435	+
266672	268231	+
268350	268553	+
268598	269248	+
269345	270415	+
270481	271191	-
271270	271881	+
272012	273358	-
273473	274516	+
274494	275168	+
275183	275557	+
276973	277629	+
278061	279428	-
284713	285078	+
285075	285728	+
285738	287186	+
287260	288696	+
288693	289667	-
289654	290415	-
290548	291339	+
291377	291877	-
291966	292715	-
292694	293578	-
293751	295097	-
295400	297991	+
298254	298973	+
299151	299630	+
299735	301414	+
301386	302342	+
302342	304915	+
304970	305803	+
305840	306721	+
306712	307965	+
307977	308153	+
308131	309396	+
309415	310659	+
310745	311380	+
311344	312156	+
312289	313320	+
313317	315077	+
315074	316207	+
316198	317139	+
317126	319072	-
319085	322204	-
322131	323864	+
324029	324643	+
324730	325758	+
325733	326698	+
326764	327582	+
327551	327934	+
328040	329053	+
329144	331432	+
331658	332305	-
333552	335822	-
335981	337042	+
337052	337207	+
337283	338884	+
338794	339996	+
339993	340943	+
341047	345453	+
345435	347996	+
348053	348571	+
348627	351329	+
351447	352988	+
353144	354940	-
355170	356636	-
356815	357507	+
357532	358749	+
358746	359288	-
359131	360831	+
360812	361669	+
361687	362175	+
362187	363182	+
363168	364640	-
364659	366104	+
366225	366785	+
366779	367612	+
367617	371039	-
371192	372283	+
372440	373141	+
373960	375084	-
375054	375584	-
375797	377083	+
377080	377970	+
378102	378359	+
378356	378865	-
379128	379754	+
379721	380104	-
380309	380626	+
380728	381468	+
381473	383053	-
383065	383700	-
383911	384087	+
384084	384932	-
385008	385244	+
385736	388174	+
388168	389535	+
389557	390021	+
390034	390468	+
390772	393597	+
393597	393932	+
393929	395479	+
395547	395963	-
395937	396812	+
396934	397524	+
397584	399017	+
398953	401328	+
401486	401695	+
402986	403489	+
403564	406314	-
406421	408241	-
408381	409097	-
409330	409779	+
409776	410915	+
410928	411302	+
411286	412665	+
412662	413816	+
413794	414609	+
414622	415866	+
415912	417168	+
417165	418085	+
417868	418827	+
418824	419732	+
419765	421960	+
421953	422846	+
422994	423404	+
423488	423877	+
423933	424307	+
424424	426127	+
426132	427190	+
427238	428167	+
428195	429538	+
429567	430019	+
430016	430549	-
430546	430995	-
431186	431992	+
432120	432776	+
432872	436126	+
436168	436353	+
436244	436621	+
436618	438369	+
438366	439628	+
439704	440009	-
440028	441926	-
442029	443384	+
443365	443883	+
443846	445204	-
445197	446876	-
446903	448096	+
448093	448863	+
448997	451048	+
451032	452057	+
452082	452888	+
453092	453628	+
453769	454173	+
454170	455939	+
455943	457235	+
457247	457867	+
457864	459732	+
459769	460191	+
460225	461046	+
461089	461640	+
461695	463509	+
463606	464076	-
464207	465289	-
465255	465785	-
465815	466624	+
466711	467223	+
467313	468464	+
468461	469378	+
469371	471092	+
471034	471888	+
471894	472922	+
473058	473687	+
473729	474943	+
474940	476064	+
476122	477204	+
477208	477798	+
477935	479986	+
479975	480157	-
480074	480358	+
480436	483711	+
483698	484561	+
484911	485600	-
485597	486601	-
486658	487974	-
488042	489823	+
489914	490492	+
490521	491306	+
491349	492056	+
492057	492416	+
492622	493800	+
493859	494611	-
494608	495480	-
495413	496582	-
496573	496821	+
496791	498743	-
498736	499845	-
499837	501246	+
501259	503334	-
503409	504053	-
504118	504855	-
504996	506603	-
506667	508013	-
508102	508806	-
508867	510414	-
510487	511269	-
511273	511761	+
511793	514042	+
514108	515232	-
515219	517234	-
517128	518972	-
518969	520564	-
521821	522231	-
522459	524996	+
525444	526412	+
526409	526597	+
526604	527659	+
527663	529480	+
529477	531312	+
531322	532143	+
532473	533462	+
533475	534509	+
534514	535377	+
535374	535880	+
535881	537755	+
537752	539053	+
539079	539975	+
539954	540517	+
540648	541982	-
542717	544045	+
544038	544649	+
544636	545883	+
545980	546546	+
546727	548544	-
548587	549213	+
549210	550457	+
550531	551931	+
552045	554927	+
554924	557899	+
557913	559493	-
559490	560080	-
560062	560754	-
560751	562127	-
563323	564594	-
564605	565084	-
565081	566235	-
566239	568884	-
569020	569583	+
569731	571737	+
571785	572414	-
572509	573951	-
573948	575765	-
575762	576388	-
576394	576732	-
577032	578717	-
578710	579735	-
579739	579951	-
580080	580496	-
580646	581395	-
581546	582805	-
582777	582998	+
583279	583650	+
583780	584739	+
584736	586457	-
586517	587200	-
587242	589110	-
589135	590199	-
590284	592284	-
591996	593126	-
593270	594574	+
594672	597116	+
597157	598644	-
598648	599736	-
599749	600282	-
600526	601737	+
601772	602440	+
602514	603695	-
603918	604910	-
605015	605728	+
605758	606666	+
606728	607933	+
607986	609971	-
610082	610933	-
611104	612240	+
612231	612644	+
612641	614677	+
614559	615779	-
615790	617277	-
617309	617929	-
618008	618640	-
618762	621086	-
621111	621956	-
621983	622648	-
622666	623748	-
623858	625162	-
625274	627331	+
627395	628501	+
628393	630237	+
630244	631131	+
631128	631904	+
631897	633186	+
633179	633859	+
633856	635343	+
635439	636848	+
636841	638484	+
